seccion_casilla,distrito_local,DISTRITO_L,casilla_tipo,seccion,CASILLA,PRIANRD,MORENA,candidato_no_registrado,votos_nulos,votacion_total_emitida,lista_nominal,hora_captura
521 BASICA,HERMOSILLO VI,6,RURAL,521,BASICA,221,199,1,16,437,377,07/06/2021 02:02
582 CONTIGUA 1,HERMOSILLO XII,12,RURAL,582,CONTIGUA 1,146,188,0,10,344,514,06/06/2021 21:04
288 BASICA,SANTA ANA XVIII,18,RURAL,288,BASICA,158,62,0,10,230,253,07/06/2021 01:18
96 BASICA,SANTA ANA XVIII,18,RURAL,96,BASICA,162,134,0,33,329,425,06/06/2021 22:30
94 CONTIGUA 1,SANTA ANA XVIII,18,URBANA,94,CONTIGUA 1,233,133,0,21,387,513,06/06/2021 22:04
151 CONTIGUA 1,SANTA ANA XVIII,18,URBANA,151,CONTIGUA 1,341,104,0,11,456,689,06/06/2021 20:59
155 BASICA,SANTA ANA XVIII,18,URBANA,155,BASICA,336,127,0,19,482,692,07/06/2021 04:47
153 BASICA,SANTA ANA XVIII,18,URBANA,153,BASICA,203,73,0,11,287,423,06/06/2021 20:29
149 BASICA,SANTA ANA XVIII,18,URBANA,149,BASICA,226,86,0,25,337,527,06/06/2021 22:08
255 BASICA,SANTA ANA XVIII,18,RURAL,255,BASICA,270,141,0,24,435,662,07/06/2021 04:00
66 CONTIGUA 1,SANTA ANA XVIII,18,RURAL,66,CONTIGUA 1,146,130,0,12,288,507,07/06/2021 02:06
67 BASICA,SANTA ANA XVIII,18,URBANA,67,BASICA,146,97,0,8,251,445,07/06/2021 02:07
252 BASICA,SANTA ANA XVIII,18,URBANA,252,BASICA,290,112,0,18,420,675,06/06/2021 22:22
753 BASICA,SANTA ANA XVIII,18,RURAL,753,BASICA,344,91,0,20,455,617,07/06/2021 04:20
2 CONTIGUA 1,SANTA ANA XVIII,18,RURAL,2,CONTIGUA 1,218,61,0,18,297,383,07/06/2021 04:59
63 EXTRAORDINARIA 1,SANTA ANA XVIII,18,RURAL,63,EXTRAORDINARIA 1,288,66,0,12,366,400,07/06/2021 02:58
744 BASICA,SANTA ANA XVIII,18,RURAL,744,BASICA,98,40,14,0,152,250,06/06/2021 21:30
746 CONTIGUA 3,SANTA ANA XVIII,18,RURAL,746,CONTIGUA 3,153,221,1,37,412,735,07/06/2021 03:33
749 BASICA,SANTA ANA XVIII,18,URBANA,749,BASICA,238,114,0,25,377,530,07/06/2021 02:33
114 BASICA,SANTA ANA XVIII,18,URBANA,114,BASICA,215,199,0,15,429,720,06/06/2021 21:17
